Rank,Game,,Score,Rating
1,People Playground 2019 Sandbox $9.99,,6.04,98% 304 K
2,Slay the Spire 2019 Roguelike Deckbuilder $24.99,,6,98% 204 K
3,Sekiro™: Shadows Die Twice - GOTY Edition 2019 Souls-like $59.99,,5.98,95% 343 K
4,Resident Evil 2 2019 Zombies $39.99,Demo,5.98,97% 189 K
5,Red Dead Redemption 2 2019 Open World $59.99,,5.96,92% 843 K
6,Oxygen Not Included 2019 Colony Sim $24.99,,5.96,97% 138 K
7,Devil May Cry 5 2019 Action $29.99,,5.95,96% 158 K
8,Katana ZERO 2019 Pixel Graphics $14.99,,5.94,98% 74.1 K
9,Age of Empires II: Definitive Edition 2019 Strategy $34.99,,5.93,95% 174 K
10,Halo: The Master Chief Collection 2019 Great Soundtrack $39.99,,5.9,92% 254 K
11,Beat Saber 2019 Rhythm $29.99,VR,5.89,96% 75.7 K
12,Phoenix Wright: Ace Attorney Trilogy 2019 Detective $29.99,,5.89,98% 41.8 K
13,A Short Hike 2019 Exploration $7.99,,5.87,99% 21.2 K
14,Disco Elysium - The Final Cut 2019 RPG $39.99,,5.87,93% 123 K
15,A Dance of Fire and Ice 2019 Rhythm $5.99,,5.87,94% 78.8 K
16,Baba Is You 2019 Puzzle $14.99,,5.86,98% 23.5 K
17,Unheard - Voices of Crime 2019 Detective $6.99,,5.85,96% 32.4 K
18,A Plague Tale: Innocence 2019 Story Rich $39.99,Demo,5.84,93% 66.2 K
19,Grimm's Hollow 2019 Pixel Graphics Free,,5.83,99% 14.2 K
20,Splitgate 2019 FPS Free,,5.83,91% 111 K
21,PC Building Simulator 2019 Simulation $19.99,,5.83,94% 52.3 K
22,My Friend Pedro 2019 Action $19.99,,5.83,96% 28.1 K
23,Mindustry 2019 Base Building $9.99,,5.83,96% 24.7 K
24,Streets of Rogue 2019 Roguelite $19.99,,5.82,96% 22.6 K
25,Tales of the Black Forest 2019 Pixel Graphics $1.19 -70% $3.99,,5.82,98% 15 K
26,Planet Zoo 2019 Management $44.99,,5.82,91% 93.2 K
27,Muse Dash 2019 Music $2.99,,5.82,90% 124 K
28,MX Bikes 2019 Motocross $34.99,EA,5.82,94% 33.1 K
29,Touhou Luna Nights 2019 Metroidvania $10.79 -40% $17.99,,5.82,97% 14.5 K
30,Bloodstained: Ritual of the Night 2019 Metroidvania $39.99,,5.81,93% 40.7 K
31,Metro Exodus 2019 Post-apocalyptic $29.99,,5.81,90% 128 K
32,Assetto Corsa Competizione 2019 Racing $39.99,,5.8,93% 43.9 K
33,missed messages. 2019 Visual Novel Free,,5.8,96% 15.4 K
34,STAR WARS Jedi: Fallen Order™ 2019 Action-Adventure $3.19 -92% $39.99,,5.8,88% 167 K
35,Kind Words (lo fi chill beats to write to) 2019 Emotional $3.99 -20% $4.99,,5.79,98% 8.99 K
36,SpaceEngine 2019 Open World $29.99,EA,5.79,96% 14.4 K
37,Descenders 2019 Sports $6.24 -75% $24.99,,5.79,94% 22.1 K
38,觅长生 2019 RPG $14.99,,5.79,93% 30.6 K
39,Space Engineers 2019 Sandbox $9.99 -50% $19.99,,5.79,89% 136 K
40,Monster Girl Island: Prologue 2019 Sexual Content Free,18,5.79,95% 17 K
41,BONEWORKS 2019 Physics $29.99,VR,5.78,92% 36.2 K
42,My Time at Portia 2019 Life Sim $29.99,Demo,5.78,92% 43.9 K
43,FIVE NIGHTS AT FREDDY'S: HELP WANTED 2019 Horror $29.99,,5.78,96% 12.9 K
44,60 Seconds! Reatomized 2019 2D $9.99,Demo,5.78,94% 18.4 K
45,Spyro™ Reignited Trilogy 2019 3D Platformer $13.99 -65% $39.99,,5.78,94% 21.5 K
46,NGU IDLE 2019 Idler Free,,5.78,96% 12.6 K
47,Supraland 2019 Puzzle Platformer $19.99,Demo,5.78,95% 14.5 K
48,ISLANDERS 2019 Relaxing $4.99,,5.77,94% 16.7 K
49,Gravitas 2019 Puzzle Free,,5.77,98% 7.01 K
