rank,name,appid
1,Valheim,892970
2,NARAKA: BLADEPOINT,1203220
3,Battlefield™ 2042,1517290
4,Forza Horizon 5,1551360
5,It Takes Two,1426210
6,Muck,1625450
7,Halo Infinite,1240440
8,Crab Game,1782210
9,Hell Let Loose,686810
10,Totally Accurate Battle Simulator,508440
11,Inscryption,1092790
12,Resident Evil Village,1196590
13,Stumble Guys,1677740
14,Days Gone,1259420
15,Poppy Playtime,1721470
16,eFootball™,1665460
17,Gunfire Reborn,1217060
18,Subnautica: Below Zero,848450
19,World of Tanks,1407200
20,Age of Empires IV: Anniversary Edition,1466860
21,Farming Simulator 22,1248130
22,Dyson Sphere Program,1366540
23,Cookie Clicker,1454400
24,DEVOUR,1274570
25,Russian Fishing 4,766570
26,Goose Goose Duck,1568590
27,War of the Three Kingdoms,1180320
28,Back 4 Blood,924970
29,Five Nights at Freddy's: Security Breach,747660
30,GTFO,493520
31,GUILTY GEAR -STRIVE-,1384160
32,Mass Effect™ Legendary Edition,1328670
33,OUTRIDERS,680420
34,ICARUS,1149460
35,Skul: The Hero Slayer,1147560
36,Little Nightmares II,860510
37,WorldBox - God Simulator,1206560
38,SnowRunner,1465360
39,Medieval Dynasty,1129580
40,Nioh 2 – The Complete Edition,1325200
41,My Singing Monsters,1419170
42,Jurassic World Evolution 2,1244460
43,Super Animal Royale,843380
44,Firework,1288310
45,ENDER LILIES: Quietus of the Knights,1369630
46,Marvel's Guardians of the Galaxy,1088850
47,Pathfinder: Wrath of the Righteous - Enhanced Edition,1184370
48,ROUNDS,1557740
49,Library Of Ruina,1256670
50,Bright Memory: Infinite,1178830
51,Unpacking,1135690
52,Clone Drone in the Danger Zone,597170
53,Loop Hero,1282730
54,Timberborn,1062090
55,LoveChoice,939400
56,Super Auto Pets,1714040
57,Car Mechanic Simulator 2021,1190000
58,Draw & Guess,1483870
59,Bloons TD Battles 2,1276390
60,Touhou Mystia's Izakaya,1584090
61,Paint the Town Red,337320
62,Bless Unleashed,1254120
63,Doki Doki Literature Club Plus!,1388880
64,DEATHLOOP,1252330
65,Call to Arms - Gates of Hell: Ostfront,400750
66,PICO PARK,1509960
67,World War Z,699130
68,HUMANKIND™,1124300
69,SCP: Containment Breach Multiplayer,1782380
70,Soul Dossier,1520470
71,NieR Replicant™ ver.1.22474487139...,1113560
72,Gas Station Simulator,1149620
73,Aliens: Fireteam Elite,1549970
