Rank,Game,Company,Score,Rating
1,Vampire Survivors 2022 Action Roguelike $3.99 -20% $4.99,,6.03,98% 260 K
2,ELDEN RING 2022 Souls-like $59.99,,6,93% 1.11 M
3,Stray 2022 Cats $29.99,,5.98,97% 168 K
4,God of War 2022 Action $19.99 -60% $49.99,,5.95,96% 173 K
5,Persona 5 Royal 2022 JRPG $17.99 -70% $59.99,,5.94,96% 122 K
6,Raft 2022 Survival $19.99,,5.94,93% 365 K
7,Marvel’s Spider-Man Remastered 2022 Open World $23.99 -60% $59.99,,5.93,96% 127 K
8,Teardown 2022 Destruction $29.99,,5.93,96% 122 K
9,Cult of the Lamb 2022 Base Building $24.99,,5.93,96% 119 K
10,PowerWash Simulator 2022 Casual $24.99,Demo,5.89,96% 57.1 K
11,SIGNALIS 2022 Survival Horror $19.99,,5.86,97% 31.1 K
12,NEEDY STREAMER OVERLOAD 2022 Psychological Horror $7.99 -50% $15.99,,5.85,95% 52.2 K
13,Neon White 2022 FPS $24.99,,5.85,98% 19.4 K
14,Dorfromantik 2022 Puzzle $13.99,,5.85,96% 28.9 K
15,Stacklands 2022 Card Game $7.99,,5.84,96% 28.7 K
16,Placid Plastic Duck Simulator 2022 Cute $1.99,,5.84,98% 19.2 K
17,Wobbledogs 2022 Dog $4.99 -75% $19.99,,5.83,98% 13.8 K
18,ASTLIBRA Revision 2022 Action RPG $17.49 -30% $24.99,Demo,5.83,95% 29.5 K
19,Outcore: Desktop Adventure 2022 Psychological Horror Free,,5.83,97% 16.9 K
20,Marvel’s Spider-Man: Miles Morales 2022 Open World $19.99 -60% $49.99,,5.82,93% 50.1 K
21,Dwarf Fortress 2022 Dwarf $29.99,,5.82,95% 30.3 K
22,DEATH STRANDING DIRECTOR'S CUT 2022 Story Rich $9.99 -75% $39.99,,5.82,93% 57 K
23,The Stanley Parable: Ultra Deluxe 2022 Multiple Endings $24.99,,5.82,94% 33.8 K
24,The Looker 2022 Puzzle Free,,5.81,97% 15.3 K
25,Fear & Hunger 2: Termina 2022 Survival Horror $11.99,18,5.81,97% 13.8 K
26,PlateUp! 2022 Co-op $19.99,Demo,5.81,95% 25.6 K
27,Mount & Blade II: Bannerlord 2022 Medieval $49.99,,5.81,88% 284 K
28,Aperture Desk Job 2022 Singleplayer Free,,5.81,95% 24.6 K
29,Trombone Champ 2022 Rhythm $14.99,,5.8,98% 10.8 K
30,Potion Craft: Alchemist Simulator 2022 Crafting $19.99,,5.8,93% 42.4 K
31,暖雪 Warm Snow 2022 Action Roguelike $12.59 -30% $17.99,Demo,5.8,93% 38.3 K
32,Metal: Hellsinger 2022 Rhythm $29.99,Demo,5.8,96% 16.6 K
33,The Case of the Golden Idol 2022 Mystery $17.99,Demo,5.8,98% 9.9 K
34,FreshWomen - Season 1 2022 Sexual Content $13.99,18,5.8,95% 18.4 K
35,Hatsune Miku: Project DIVA Mega Mix+ 2022 Rhythm $15.75 -60% $39.39,,5.79,95% 21.7 K
36,Grounded 2022 Survival $39.99,,5.79,90% 92.2 K
37,Lost in Play 2022 Puzzle $19.99,Demo,5.79,98% 8.02 K
38,Monument Valley 2022 Puzzle $7.99,,5.78,98% 7.95 K
39,Retrowave 2022 Racing $2.99,,5.78,95% 15.3 K
40,Tiny Rogues 2022 Action Roguelike $9.99,EA,5.78,97% 10.4 K
41,Bugsnax 2022 Creature Collector $24.99,,5.78,97% 8.62 K
42,The Past Within 2022 Co-op $5.99,Demo,5.78,95% 16.2 K
43,CULTIC 2022 Boomer Shooter $9.99,Demo,5.78,97% 8.12 K
44,BABBDI 2022 Exploration Free,,5.77,98% 7.69 K
45,Patrick's Parabox 2022 Puzzle $19.99,Demo,5.77,99% 5.28 K
46,Strange Horticulture 2022 Mystery $15.99,Demo,5.77,95% 14.9 K
47,Lil Gator Game 2022 Casual $19.99,,5.77,99% 5.61 K
48,Café Stella and the Reaper's Butterflies 2022 Visual Novel $20.99 -40% $34.99,,5.77,98% 6.38 K
49,Symphony of War: The Nephilim Saga 2022 Tactical RPG $19.99,,5.77,95% 14.1 K
50,Teenage Mutant Ninja Turtles: Shredder's Revenge 2022 Beat 'em up $24.99,,5.76,94% 14.3 K
51,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition 2022 Zombies $29.99,,5.76,91% 45 K
52,LEGO® Star Wars™: The Skywalker Saga 2022 LEGO $49.99,,5.76,90% 47.1 K
53,Ib 2022 Story Rich $12.99,,5.76,99% 4.93 K
54,One-armed cook 2022 Co-op Free,,5.76,92% 30.4 K
55,Dungeon Munchies 2022 Action $19.99,,5.76,97% 7.05 K
56,A Castle Full of Cats 2022 Cats $1.99 -50% $3.99,,5.76,99% 4.3 K
57,POSTAL: Brain Damaged 2022 Shooter $4.99 -75% $19.99,Demo,5.76,95% 10.3 K
58,Cosmoteer: Starship Architect & Commander 2022 Sci-fi $19.99,EA Demo,5.76,95% 12.3 K
59,REFLEXIA Prototype ver. 2022 Visual Novel Free,,5.76,97% 7.22 K
60,A Building Full of Cats 2022 Cats $0.99 -50% $1.99,,5.75,99% 4.28 K
61,UNCHARTED™: Legacy of Thieves Collection 2022 Adventure $16.49 -67% $49.99,,5.75,90% 37 K
62,Spaceflight Simulator 2022 Sandbox $14.99,EA,5.75,96% 7.25 K
63,SurrounDead 2022 Zombies $11.99,EA,5.75,92% 22.1 K
