rank,appid,name,rating,num_votes
1,1086940,Baldur's Gate 3,97.0,824962
2,1966720,Lethal Company,97.0,502301
3,2050650,Resident Evil 4,97.0,219892
4,1868140,DAVE THE DIVER,97.0,145860
5,2231450,Pizza Tower,98.0,70148
6,1942280,Brotato,97.0,109878
7,1920960,VPet-Simulator,98.0,50193
8,2420510,HoloCure - Save the Fans!,99.0,39593
9,1669980,Volcano Princess,98.0,46784
10,1562700,SANABI,97.0,42594
11,1931770,Chants of Sennaar,98.0,28172
12,774801,Crab Champions,98.0,29677
13,1562430,DREDGE,96.0,51774
14,1817230,Hi-Fi RUSH,97.0,34859
15,990080,Hogwarts Legacy,90.0,360517
16,602960,Barotrauma,94.0,83184
17,2212330,Your Only Move Is HUSTLE,96.0,39390
18,2263010,Pineapple on pizza,98.0,25372
19,552100,Brick Rigs,95.0,55284
20,2313250,Cats Hidden in Paris,99.0,17866
21,1989270,Slay the Princess — The Pristine Cut,97.0,30051
22,2378900,The Coffin of Andy and Leyley,96.0,35453
23,1686940,Bopl Battle,97.0,23329
24,2324650,The Murder of Sonic the Hedgehog,97.0,24626
25,714010,Aimlabs,92.0,132596
26,1876890,Wandering Sword,95.0,39734
27,2532550,LIZARDS MUST DIE,96.0,26455
28,2291760,Papa's Freezeria Deluxe,99.0,12493
29,1336490,Against the Storm,95.0,35108
30,2608050,Cats Hidden in Jingle Jam,99.0,10399
31,1353230,Bomb Rush Cyberfunk,98.0,14800
32,1627720,Lies of P,92.0,74372
33,1888160,ARMORED CORE™ VI FIRES OF RUBICON™,92.0,82203
34,2365810,Pseudoregalia,97.0,17374
35,2415010,A Date with Death,98.0,12921
36,2322560,Love Is All Around,93.0,45819
37,2109460,VillageRhapsody,97.0,16092
38,2458530,魔女的夜宴,99.0,10677
39,2495980,Arrow a Row,97.0,16851
40,692890,Roboquest,95.0,23537
41,1533390,Gorilla Tag,91.0,80059
42,2121360,东北之夏,98.0,12160
43,756800,Contraband Police,95.0,23817
44,1708150,Juice Galaxy,98.0,9774
45,2381620,Steam Engine Simulator,99.0,8754
46,2368470,An Arcade Full of Cats,98.0,7738
47,1693980,Dead Space,91.0,61489
48,2551020,One-armed robber,91.0,46704
49,2052410,WITCH ON THE HOLY NIGHT,98.0,7001
50,2551500,巫兎 - KANNAGI USAGI -,98.0,6938
51,2667970,100 Asian Cats,97.0,8349
52,2291850,Underground Blossom,98.0,6639
53,1967430,Ghost Trick: Phantom Detective,98.0,7575
54,2375550,Like a Dragon Gaiden: The Man Who Erased His Name,96.0,11761
55,835960,The Talos Principle 2,95.0,12800
56,1677310,In Stars And Time,97.0,7878
57,1971650,OCTOPATH TRAVELER II,94.0,15691
58,2056220,Bloody Hell,98.0,6571
59,1201270,A Space for the Unbound,97.0,7169
60,2138710,Sifu,92.0,25220
61,2181930,DR LIVESEY ROM AND DEATH EDITION,94.0,13603
62,1401590,Disney Dreamlight Valley,92.0,23475
63,2083160,Disfigure,98.0,5901
64,2194530,Yog-Sothoth’s Yard,94.0,13093
65,1644940,Loddlenaut,98.0,5374
66,1164940,Trepang2,93.0,17044
67,1473350,(the) Gnorp Apologue,95.0,9497
68,1958220,WitchSpring R,96.0,7671
69,2088840,Picayune Dreams,99.0,4171
70,1382070,Viewfinder,94.0,11500
71,1966900,20 Minutes Till Dawn,91.0,28479
72,824600,HROT,97.0,6209
73,2186320,Ages of Conflict: World War Simulator,96.0,7010
74,571740,Golf It!,90.0,30362
75,1321440,Cassette Beasts,94.0,10396
76,1089090,ONE PIECE: PIRATE WARRIORS 4,92.0,21094
77,1973530,Limbus Company,87.0,94294
78,1497440,COCOON,95.0,8362
79,1280930,Astral Ascent,95.0,7949
80,2667430,Grimhook,98.0,3932
81,2318310,Class of '09: The Re-Up,97.0,4412
82,1404850,Luck be a Landlord,93.0,11280
83,1944430,Amnesia: The Bunker,93.0,11243
84,1337520,Risk of Rain Returns,90.0,28438
85,2168680,Nuclear Option,95.0,7047
86,2067780,Your Turn To Die -Death Game By Majority-,98.0,3593
87,1944570,Boneraiser Minions,96.0,5284
88,2281730,Combat Master: Season 5,88.0,51296
89,1331550,Big Ambitions,93.0,12078
90,2250060,I commissioned some bees 0,97.0,4550
91,2296990,We Were Here Expeditions: The FriendShip,90.0,23475
92,1623940,Bramble: The Mountain King,95.0,7147
93,2653790,The Exit 8,93.0,10068
94,2106840,PARANORMASIGHT: The Seven Mysteries of Honjo,95.0,6099
95,1304680,Voidigo,97.0,4676
96,2334730,Death Must Die,91.0,21313
97,1058830,Spin Rhythm XD,97.0,4153
98,1765350,候鸟,97.0,3835
99,2171690,Handshakes,99.0,2792
100,1328350,Turbo Overkill,94.0,7099
101,2236070,Peaks of Yore,98.0,3533
102,1740300,Smushi Come Home,99.0,2578
103,1227650,Bang-On Balls: Chronicles,96.0,5003
104,2303350,Sticky Business,94.0,7222
105,1342330,Mad Games Tycoon 2,94.0,7496
106,2291680,The Arrogant Kaiju Princess and The Detective Servant,97.0,3391
107,2114740,Blasphemous 2,91.0,17219
108,1105670,The Last Spell,92.0,12382
109,2422870,Bronzebeard's Tavern,94.0,6564
110,2433730,Unsorted Horror,98.0,3163
111,1895880,Ratchet & Clank: Rift Apart,91.0,16408
112,2287520,Five Nights at Freddy's: Help Wanted 2,95.0,5146
113,2179850,Cobalt Core,96.0,4057
114,1135230,Ember Knights,94.0,6673
115,1748620,FlipWitch - Forbidden Sex Hex,95.0,5637
116,2306590,Apewar,93.0,7694
117,2186680,"Warhammer 40,000: Rogue Trader",88.0,41288
118,1608230,Planet of Lana,93.0,7671
119,2166060,Amanda the Adventurer,94.0,6987
120,1114940,I Wanna Maker,95.0,5002
121,1801110,BOKURA,92.0,11891
122,1683150,Railroader,97.0,3219
123,601050,Attack on Titan 2 - A.O.T.2,93.0,7570
124,2027330,GoreBox,89.0,20455
125,2163330,Yet Another Zombie Survivors,91.0,12741
126,1889040,Birth,96.0,3699
127,2005010,"Warhammer 40,000: Boltgun",90.0,16980
128,2273420,Private Dorm Manager,94.0,6165
129,8980,Borderlands Game of the Year,88.0,33328
130,1742020,Idol Showdown,94.0,5764
131,2187290,Wall World,91.0,11635
132,1158160,Coral Island,88.0,25508
133,2510770,Stella of The End,97.0,2827
134,1084600,My Time at Sandrock,88.0,28059
135,2276930,Chillquarium,92.0,7975
136,1340480,The Cosmic Wheel Sisterhood,94.0,5767
137,1937500,Let's School,93.0,6990
138,1681430,RoboCop: Rogue City,87.0,33139
139,1527950,Wartales,87.0,33774
140,482400,System Shock,91.0,12133
141,1977170,Jusant,93.0,6239
142,2399220,NUKITASHI,96.0,3336
143,1903620,Killer Frequency,93.0,5587
144,740130,Tales of ARISE,87.0,36175
145,1663220,Coffee Talk Episode 2: Hibiscus & Butterfly,97.0,2568
146,2434340,BLACK BOX LSS - The Shining Immortal,99.0,1852
147,2262610,Endless Monday: Dreams and Deadlines,99.0,1854
148,1745510,Lunacid,91.0,10378
149,1084160,Jagged Alliance 3,89.0,14047
150,1574260,My Friendly Neighborhood,95.0,3228
151,2672090,Cats and Seek: Osaka,98.0,1783
152,1245560,Roots of Pacha,94.0,4305
153,1244090,Sea of Stars,89.0,14140
154,2443110,"South Scrimshaw, Part One",99.0,1534
155,2506160,Fears to Fathom - Ironbark Lookout,93.0,5519
156,2313240,Cats Hidden in Italy,98.0,1871
157,2128480,Staffer Case: A Supernatural Mystery Adventure,94.0,3827
158,2423320,Homicipher: Demo,99.0,1629
159,1710100,Bing in Wonderland,97.0,2139
160,1988550,To The Core,93.0,5039
161,1249040,American Arcadia,94.0,3791
162,1793250,Take Me To The Dungeon!!,94.0,3770
163,2353760,Landfall Archives,95.0,3447
164,1796220,Laika: Aged Through Blood,92.0,5990
165,2539960,Orbo's Odyssey,99.0,1565
166,1539140,STONKS-9800: Stock Market Simulator,96.0,2533
167,1882500,Cattails: Wildwood Story,97.0,1788
168,1150440,Aliens: Dark Descent,88.0,17573
169,2373630,Moonring,96.0,2356
170,843390,Vertigo 2,95.0,2631
171,2535830,Squirrel Stapler,96.0,2140
172,1500740,Snail Simulator,98.0,1513
173,1364780,Street Fighter™ 6,84.0,70262
174,2166050,Moonleap,99.0,1295
175,2441270,Kill The Crows,95.0,2880
176,2143680,Noctuary,96.0,2450
177,1730700,We Love Katamari REROLL+ Royal Reverie,96.0,2450
178,2238900,STAR OCEAN THE SECOND STORY R,94.0,3787
179,1333200,Song of Nunu: A League of Legends Story,95.0,3012
180,913740,WORLD OF HORROR,90.0,9693
181,858710,Gravity Circuit,94.0,3395
182,2291340,The Baby In Yellow,96.0,2023
183,1545560,Shadow Gambit: The Cursed Crew,91.0,6017
184,638510,dotAGE,95.0,2558
