year,rank,name,appid,month,avg_players,peak_players,status
2022,1,Vampire Survivors,1794680,2022-01,10785.0,50847.0,ok
2022,1,Vampire Survivors,1794680,2022-02,39031.65,77061.0,ok
2022,1,Vampire Survivors,1794680,2022-03,27206.71,58323.0,ok
2022,1,Vampire Survivors,1794680,2022-04,33328.82,68805.0,ok
2022,1,Vampire Survivors,1794680,2022-05,22304.75,48081.0,ok
2022,1,Vampire Survivors,1794680,2022-06,17195.98,34545.0,ok
2022,1,Vampire Survivors,1794680,2022-07,12884.41,21058.0,ok
2022,1,Vampire Survivors,1794680,2022-08,11347.86,20665.0,ok
2022,1,Vampire Survivors,1794680,2022-09,7986.03,12961.0,ok
2022,1,Vampire Survivors,1794680,2022-10,11496.15,35264.0,ok
2022,1,Vampire Survivors,1794680,2022-11,9682.37,18545.0,ok
2022,1,Vampire Survivors,1794680,2022-12,13482.54,27925.0,ok
2022,2,ELDEN RING,1245620,2022-03,522066.37,952523.0,ok
2022,2,ELDEN RING,1245620,2022-04,211468.89,457067.0,ok
2022,2,ELDEN RING,1245620,2022-05,90047.14,192569.0,ok
2022,2,ELDEN RING,1245620,2022-06,50150.34,88390.0,ok
2022,2,ELDEN RING,1245620,2022-07,35632.79,52347.0,ok
2022,2,ELDEN RING,1245620,2022-08,31075.95,47252.0,ok
2022,2,ELDEN RING,1245620,2022-09,27756.87,45238.0,ok
2022,2,ELDEN RING,1245620,2022-10,24608.97,39776.0,ok
2022,2,ELDEN RING,1245620,2022-11,23942.12,36112.0,ok
2022,2,ELDEN RING,1245620,2022-12,40312.34,85651.0,ok
2022,3,Stray,1332010,2022-07,21980.49,51455.0,ok
2022,3,Stray,1332010,2022-08,4243.75,12109.0,ok
2022,3,Stray,1332010,2022-09,1343.6,3070.0,ok
2022,3,Stray,1332010,2022-10,1231.14,3972.0,ok
2022,3,Stray,1332010,2022-11,948.49,2520.0,ok
2022,3,Stray,1332010,2022-12,1406.88,3764.0,ok
2022,4,God of War,1593500,2022-01,34118.86,73529.0,ok
2022,4,God of War,1593500,2022-02,9977.41,23173.0,ok
2022,4,God of War,1593500,2022-03,3442.66,7085.0,ok
2022,4,God of War,1593500,2022-04,2335.93,4604.0,ok
2022,4,God of War,1593500,2022-05,1946.08,3853.0,ok
2022,4,God of War,1593500,2022-06,2515.48,6819.0,ok
2022,4,God of War,1593500,2022-07,3928.4,6781.0,ok
2022,4,God of War,1593500,2022-08,2504.72,4454.0,ok
2022,4,God of War,1593500,2022-09,3357.87,8253.0,ok
2022,4,God of War,1593500,2022-10,3242.44,7333.0,ok
2022,4,God of War,1593500,2022-11,8907.18,19644.0,ok
2022,4,God of War,1593500,2022-12,10003.63,19551.0,ok
2022,5,Persona 5 Royal,1687950,2022-10,23090.54,35298.0,ok
2022,5,Persona 5 Royal,1687950,2022-11,15002.57,29125.0,ok
2022,5,Persona 5 Royal,1687950,2022-12,11418.19,24714.0,ok
2022,6,Raft,648800,2022-01,9059.35,19102.0,ok
2022,6,Raft,648800,2022-02,7760.19,17870.0,ok
2022,6,Raft,648800,2022-03,6169.09,12672.0,ok
2022,6,Raft,648800,2022-04,6335.49,13444.0,ok
2022,6,Raft,648800,2022-05,6477.65,13074.0,ok
2022,6,Raft,648800,2022-06,22933.12,100474.0,ok
2022,6,Raft,648800,2022-07,35215.62,81457.0,ok
2022,6,Raft,648800,2022-08,18584.45,39286.0,ok
2022,6,Raft,648800,2022-09,10058.68,22667.0,ok
2022,6,Raft,648800,2022-10,7547.92,16129.0,ok
2022,6,Raft,648800,2022-11,8806.69,27860.0,ok
2022,6,Raft,648800,2022-12,12024.13,26135.0,ok
2022,7,Marvel’s Spider-Man Remastered,1817070,2022-08,26123.18,66093.0,ok
2022,7,Marvel’s Spider-Man Remastered,1817070,2022-09,7564.57,17248.0,ok
2022,7,Marvel’s Spider-Man Remastered,1817070,2022-10,3893.82,8312.0,ok
2022,7,Marvel’s Spider-Man Remastered,1817070,2022-11,4203.43,8196.0,ok
2022,7,Marvel’s Spider-Man Remastered,1817070,2022-12,4291.3,8795.0,ok
2022,8,Teardown,1167630,2022-01,1925.51,3679.0,ok
2022,8,Teardown,1167630,2022-02,1671.57,3351.0,ok
