,rank,appid,name,num_votes,rating,tags
0,1,960090,Bloons TD 6,379515,97.0,"['multiplayer', 'co-op', 'singleplayer']"
1,2,242760,The Forest,661575,96.0,"['multiplayer', 'co-op', 'singleplayer']"
2,3,264710,Subnautica,340218,97.0,['singleplayer']
3,4,294100,RimWorld,233714,98.0,['singleplayer']
4,5,588650,Dead Cells,177441,97.0,['singleplayer']
5,6,504230,Celeste,136374,97.0,['singleplayer']
6,7,945360,Among Us,722199,92.0,"['multiplayer', 'co-op']"
7,8,683320,GRIS,92951,96.0,['singleplayer']
8,9,233860,Kenshi,108901,96.0,['singleplayer']
9,10,644560,Mirror,85269,96.0,['singleplayer']
10,11,613100,House Flipper,101454,94.0,['singleplayer']
11,12,787860,Farming Simulator 19,75672,94.0,"['multiplayer', 'co-op', 'singleplayer']"
12,13,323190,Frostpunk,131732,93.0,['singleplayer']
13,14,570940,DARK SOULS™: REMASTERED,144464,92.0,"['multiplayer', 'singleplayer']"
14,15,252490,Rust,1329322,87.0,"['multiplayer', 'co-op']"
15,16,871720,Ultimate Custom Night,61705,95.0,['singleplayer']
16,17,653530,Return of the Obra Dinn,32995,97.0,['singleplayer']
17,18,531510,Just Shapes & Beats,24802,98.0,"['multiplayer', 'co-op', 'singleplayer']"
18,19,519860,DUSK,24713,97.0,"['multiplayer', 'singleplayer']"
19,20,582010,Monster Hunter: World,509093,88.0,"['multiplayer', 'co-op', 'singleplayer']"
20,21,568220,Lobotomy Corporation | Monster Management Simulation,51247,94.0,['singleplayer']
21,22,609320,FAR: Lone Sails,25205,95.0,['singleplayer']
22,23,617670,Zup! S,15635,97.0,['singleplayer']
23,24,812140,Assassin's Creed® Odyssey,181234,89.0,['singleplayer']
24,25,824270,KovaaK's,38756,93.0,['singleplayer']
25,26,866800,The Walking Dead: The Final Season,20827,95.0,['singleplayer']
26,27,728880,Overcooked! 2,79451,91.0,"['multiplayer', 'co-op', 'singleplayer']"
27,28,909080,Cube Escape: Paradox,11435,97.0,['singleplayer']
28,29,678950,DRAGON BALL FighterZ,75080,90.0,"['multiplayer', 'singleplayer']"
29,30,590380,Into the Breach,21600,94.0,['singleplayer']
30,31,673950,Farm Together,21976,94.0,"['multiplayer', 'co-op', 'singleplayer']"
31,32,1002300,Fear & Hunger,20659,94.0,['singleplayer']
32,33,456750,The Room Three,12881,96.0,['singleplayer']
33,34,535930,Two Point Hospital,34254,92.0,['singleplayer']
34,35,432350,Epic Battle Fantasy 5,5907,99.0,['singleplayer']
35,36,410340,Liftoff®: FPV Drone Racing,12675,95.0,"['multiplayer', 'singleplayer']"
36,37,631510,Devil May Cry HD Collection,20631,93.0,['singleplayer']
37,38,823130,Totally Accurate Battlegrounds,87599,88.0,['multiplayer']
38,39,444090,Paladins®,345779,85.0,['multiplayer']
39,40,897330,Coloring Pixels,8413,96.0,['singleplayer']
40,41,603850,Age of History II,48891,90.0,"['multiplayer', 'singleplayer']"
41,42,1222700,A Way Out,94981,88.0,"['multiplayer', 'co-op']"
42,43,897220,Summer Pockets,4754,99.0,['singleplayer']
43,44,553310,Lethal League Blaze,6585,97.0,"['multiplayer', 'singleplayer']"
44,45,368340,CrossCode,17585,93.0,['singleplayer']
45,46,825630,STEINS;GATE 0,7808,96.0,['singleplayer']
46,47,844930,Fox Hime Zero,5882,97.0,['singleplayer']
47,48,528230,SYNTHETIK: Legion Rising,12919,94.0,"['multiplayer', 'co-op', 'singleplayer']"
48,49,701160,Kingdom Two Crowns,37184,90.0,"['multiplayer', 'co-op', 'singleplayer']"
49,50,686200,Door Kickers: Action Squad,10406,95.0,"['multiplayer', 'co-op', 'singleplayer']"
50,51,736190,Chinese Parents,26505,91.0,['singleplayer']
51,52,589780,The Red Strings Club,13727,94.0,['singleplayer']
52,53,731490,Crash Bandicoot™ N. Sane Trilogy,21262,92.0,['singleplayer']
53,54,508900,Zup! X,6750,96.0,['singleplayer']
54,55,285920,TerraTech,24349,91.0,"['multiplayer', 'co-op', 'singleplayer']"
55,56,880940,Pummel Party,56356,89.0,"['multiplayer', 'singleplayer']"
56,57,816340,Kingdom Rush Origins - Tower Defense,7509,96.0,['singleplayer']
57,58,860950,Mark of the Ninja: Remastered,6697,96.0,['singleplayer']
58,59,743450,Monster Prom,14226,93.0,"['multiplayer', 'singleplayer']"
59,60,688420,Bad North: Jotunn Edition,13371,93.0,['singleplayer']
60,61,845070,The Awesome Adventures of Captain Spirit,14728,93.0,['singleplayer']
61,62,658850,Do Not Feed the Monkeys,11966,94.0,['singleplayer']
62,63,650700,Yume Nikki,9771,94.0,['singleplayer']
63,64,342560,Airships: Conquer the Skies,6349,96.0,"['multiplayer', 'co-op', 'singleplayer']"
64,65,765410,Bean Battles,9992,94.0,['multiplayer']
65,66,764790,The Messenger,12747,93.0,['singleplayer']
66,67,878750,Hentai Girl,14264,92.0,['singleplayer']
67,68,744190,Rusty Lake Paradise,6800,95.0,['singleplayer']
68,69,962400,Granny,9037,94.0,['singleplayer']
69,70,453090,Parkitect,7866,94.0,"['multiplayer', 'co-op', 'singleplayer']"
70,71,445980,Wizard of Legend,20857,91.0,"['multiplayer', 'co-op', 'singleplayer']"
71,72,788770,Meteor 60 Seconds!,4791,96.0,['singleplayer']
72,73,753420,Dungreed,9507,93.0,['singleplayer']
73,74,334940,Yoku's Island Express,5114,96.0,['singleplayer']
74,75,552500,Warhammer: Vermintide 2,144819,85.0,"['multiplayer', 'co-op', 'singleplayer']"
75,76,899970,NEKOPARA Extra,3953,97.0,['singleplayer']
76,77,1045520,Acting Lessons,5155,96.0,['singleplayer']
77,78,648350,Jurassic World Evolution,54830,87.0,['singleplayer']
78,79,760060,Mutant Year Zero: Road to Eden,20329,90.0,['singleplayer']
79,80,760890,Hello Charlotte EP3: Childhood's End,3077,98.0,['singleplayer']
80,81,527230,For The King,42920,88.0,"['multiplayer', 'co-op', 'singleplayer']"
81,82,379430,Kingdom Come: Deliverance,175689,84.0,['singleplayer']
82,83,228380,Wreckfest,39674,88.0,"['multiplayer', 'singleplayer']"
83,84,704850,Thief Simulator,38391,88.0,['singleplayer']
84,85,581320,Insurgency: Sandstorm,130774,85.0,"['multiplayer', 'co-op']"
85,86,673880,"Warhammer 40,000: Mechanicus",14238,91.0,['singleplayer']
86,87,469820,Genital Jousting,11173,92.0,"['multiplayer', 'singleplayer']"
87,88,702670,Donut County,11391,92.0,['singleplayer']
88,89,743390,DISTRAINT 2,4703,95.0,['singleplayer']
89,90,880950,Maitetsu:Pure Station,3613,97.0,['singleplayer']
90,91,799070,Zup! 8,4402,95.0,['singleplayer']
91,92,291860,Pit People®,8103,93.0,"['multiplayer', 'co-op', 'singleplayer']"
92,93,882790,Fate Seeker,13359,91.0,['singleplayer']
93,94,648390,Marie's Room,6604,93.0,['singleplayer']
94,95,510420,The Hex,5378,94.0,['singleplayer']
95,96,848350,Katamari Damacy REROLL,6466,93.0,"['multiplayer', 'singleplayer']"
96,97,16900,GROUND BRANCH,22997,89.0,"['multiplayer', 'co-op', 'singleplayer']"
97,98,332950,Dark Deception,22964,89.0,['singleplayer']
98,99,525510,"Guns, Gore and Cannoli 2",5348,94.0,"['multiplayer', 'singleplayer']"
99,100,790060,The Void Rains Upon Her Heart,1886,99.0,['singleplayer']
100,101,466560,Northgard: Definitive Edition,67835,85.0,"['multiplayer', 'co-op', 'singleplayer']"
101,102,847370,Sunset Overdrive,13890,90.0,['singleplayer']
102,103,599140,Graveyard Keeper,46484,86.0,['singleplayer']
103,104,532210,Life is Strange 2,39250,87.0,['singleplayer']
104,105,815780,PIPE by BMX Streets,6189,93.0,['singleplayer']
105,106,233610,Distance,7448,92.0,"['multiplayer', 'singleplayer']"
106,107,530320,Wandersong,3828,95.0,['singleplayer']
107,108,885810,The Witch's House MV,3814,95.0,['singleplayer']
108,109,838310,Bloodstained: Curse of the Moon,4396,94.0,['singleplayer']
109,110,994280,Gujian3(古剑奇谭三),48680,86.0,['singleplayer']
110,111,600480,Megaquarium,3542,95.0,['singleplayer']
111,112,973760,Thronebreaker: The Witcher Tales,17326,89.0,['singleplayer']
112,113,389140,Horizon Chase Turbo,5729,93.0,"['multiplayer', 'singleplayer']"
113,114,995460,Miracle Snack Shop,2278,97.0,['singleplayer']
114,115,846470,Moss,3362,95.0,['singleplayer']
115,116,917680,"one night, hot springs",3062,96.0,['singleplayer']
116,117,927890,Hentai Girl Linda,4762,93.0,['singleplayer']
117,118,648580,428: Shibuya Scramble,3422,95.0,['singleplayer']
118,119,801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],3834,94.0,"['multiplayer', 'singleplayer']"
119,120,884260,Akane,2855,96.0,['singleplayer']
120,121,560130,Pillars of Eternity II: Deadfire,19582,88.0,['singleplayer']
121,122,829110,LEGO® DC Super-Villains,7683,91.0,"['multiplayer', 'co-op', 'singleplayer']"
122,123,750920,Shadow of the Tomb Raider: Definitive Edition,85273,84.0,['singleplayer']
123,124,334920,Zero-K,4197,94.0,"['multiplayer', 'co-op', 'singleplayer']"
124,125,473770,BallisticNG,3599,94.0,"['multiplayer', 'singleplayer']"
125,126,754150,Rolling Line,2421,96.0,"['multiplayer', 'co-op', 'singleplayer']"
126,127,704450,Neverwinter Nights: Enhanced Edition,9202,90.0,"['multiplayer', 'co-op', 'singleplayer']"
127,128,963000,Frog Detective 1: The Haunted Island,5400,92.0,['singleplayer']
128,129,336140,Unavowed,2520,96.0,['singleplayer']
129,130,963690,Hentai Girl Hime,4166,93.0,['singleplayer']
130,131,424030,War of Rights,14378,88.0,"['multiplayer', 'co-op']"
131,132,804700,The House in Fata Morgana: A Requiem for Innocence,1666,97.0,['singleplayer']
132,133,858940,Flowers -Le volume sur ete-,1273,99.0,['singleplayer']
133,134,855640,My Brother Rabbit,2006,96.0,['singleplayer']
134,135,595520,FINAL FANTASY XII THE ZODIAC AGE,9462,90.0,['singleplayer']
135,136,604330,The Crown of Leaves,2200,96.0,['singleplayer']
136,137,223750,DCS World Steam Edition,39462,85.0,"['multiplayer', 'co-op', 'singleplayer']"
137,138,809020,ZeroRanger,2096,96.0,"['multiplayer', 'co-op', 'singleplayer']"
138,139,791470,DYO,1814,97.0,"['multiplayer', 'co-op', 'singleplayer']"
139,140,613830,CHRONO TRIGGER®,12575,88.0,['singleplayer']
140,141,598700,The Vagrant,8508,90.0,['singleplayer']
141,142,1046820,I'm on Observation Duty,2167,96.0,['singleplayer']
142,143,417290,Ghost of a Tale,5126,92.0,['singleplayer']
