rank,name,appid
1,Red Dead Redemption 2,1174180
2,Destiny 2,1085660
3,Sekiro™: Shadows Die Twice - GOTY Edition,814380
4,People Playground,1118200
5,Hunt: Showdown 1896,594650
6,Halo: The Master Chief Collection,976730
7,Slay the Spire,646570
8,Resident Evil 2,883710
9,Age of Empires II: Definitive Edition,813780
10,STAR WARS Jedi: Fallen Order™,1172380
11,Devil May Cry 5,601150
12,Need for Speed™ Heat,1222680
13,Oxygen Not Included,457140
14,Space Engineers,244850
15,Metro Exodus,412020
16,Muse Dash,774171
17,Disco Elysium - The Final Cut,632470
18,MORDHAU,629760
19,Mortal Kombat 11,976310
20,Splitgate,677620
21,Total War: THREE KINGDOMS,779340
22,Planet Zoo,703080
23,Green Hell,815370
24,Dota Underlords,1046930
25,Black Squad,550650
26,A Dance of Fire and Ice,977950
27,Beat Saber,620980
28,Katana ZERO,460950
29,A Plague Tale: Innocence,752590
30,Minion Masters,489520
31,CODE VEIN,678960
32,Blasphemous,774361
33,Remnant: From the Ashes,617290
34,ACE COMBAT™ 7: SKIES UNKNOWN,502500
35,The Long Drive,1017180
36,PC Building Simulator,621060
37,They Are Billions,644930
38,DiRT Rally 2.0,690790
39,My Time at Portia,666140
40,Assetto Corsa Competizione,805550
41,Forager,751780
42,Pacify,967050
43,Phoenix Wright: Ace Attorney Trilogy,787480
44,Generation Zero®,704270
45,Bloodstained: Ritual of the Night,692850
46,CRSED: Cuisine Royale,884660
47,BONEWORKS,823500
48,KurtzPel,844870
49,Far Cry® New Dawn,939960
50,MX Bikes,655500
51,Trailmakers,585420
52,Unheard - Voices of Crime,942970
53,Hurtworld,393420
54,Transport Fever 2,1066780
55,觅长生,1189490
56,Anno 1800,916440
57,Stay Out,1180380
58,Tropico 6,492720
59,My Friend Pedro,557340
60,Dead Frontier 2,744900
61,Imperator: Rome,859580
62,Mindustry,1127400
63,Gears 5,1097840
64,Baba Is You,736260
65,War Selection,1022450
66,Streets of Rogue,512900
67,Children of Morta,330020
68,Descenders,681280
69,Spyro™ Reignited Trilogy,996580
70,GreedFall,606880
71,A Short Hike,1055540
72,Notes of Soul,991780
73,Cooking Simulator,641320
74,Project Winter,774861
75,Secret Neighbor: Hello Neighbor Multiplayer,859570
76,Real Pool 3D - Poolians,670290
77,Cube World,1128000
78,60 Seconds! Reatomized,1012880
79,Drunken Wrestlers 2,667530
80,Plants vs. Zombies: Battle for Neighborville™,1262240
81,Terminator: Resistance,954740
82,Dawn of Man,858810
83,We Were Here Together,865360
84,Monster Girl Island: Prologue,943700
85,RAGE 2,548570
86,ISLANDERS,1046030
87,BLOCKPOST LEGACY,706990
88,WARMODE,391460
89,BATTALION: Legacy,489940
90,OCTOPATH TRAVELER™,921570
91,missed messages.,812810
92,Wolfenstein: Youngblood,1056960
93,Age of Empires: Definitive Edition,1017900
94,Tales of the Black Forest,1093910
95,Garfield Kart - Furious Racing,1085510
96,Touhou Luna Nights,851100
97,Richman10,1162520
98,SpaceEngine,314650
99,Supraland,813630
100,Assassin's Creed® III Remastered,911400
101,Naval Action,311310
102,Grimm's Hollow,1170880
103,Trine 4: The Nightmare Prince,690640
104,Little Misfortune,714120
105,Road Redemption,300380
106,Darksiders Genesis,710920
107,Jump King,1061090
108,Walking Zombie 2,965200
109,PixARK,593600
110,FIVE NIGHTS AT FREDDY'S: HELP WANTED,732690
111,Sniper Ghost Warrior Contracts,973580
112,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",1121910
113,NGU IDLE,1147690
114,Digimon Story Cyber Sleuth: Complete Edition,1042550
115,The Dark Pictures Anthology: Man of Medan,939850
116,The Beast Inside,792300
117,Pathologic 2,505230
118,Tick Tock: A Tale for Two,790740
119,Dicey Dungeons,861540
120,Paunch,792220
121,EARTH DEFENSE FORCE 5,1007040
122,Pikuniku,572890
123,月圆之夜 (Night of Full Moon),769560
124,Battlefleet Gothic: Armada 2,573100
125,Catherine Classic,893180
126,Breeders of the Nephelym,1161770
127,Internet Cafe Simulator,1136160
128,Pool 2D - Poolians,891040
129,Seen,1069740
130,Hand Simulator: Survival,924140
131,Shotgun Farmers,604240
132,GOD EATER 3,899440
133,Last Year,1195460
134,DEAD OR ALIVE 6,838380
135,Reventure,900270
136,Tannenberg,633460
137,Steel Division 2,919640
138,Police Stories,539470
139,Volcanoids,951440
140,The Surge 2,644830
141,Yuppie Psycho: Executive Edition,597760
142,AI: The Somnium Files,948740
143,Kind Words (lo fi chill beats to write to),1070710
144,Deliver Us The Moon,428660
145,SURVIVAL: Postapocalypse Now,351290
146,Otaku's Adventure,937170
147,The Song of Saya,702050
148,Sayonara Wild Hearts,1122720
149,Derail Valley,588030
150,When the Darkness comes,1021950
151,Ylands,298610
152,Zup! F,601220
153,GORN,578620
154,The Wild Eight,526160
155,Russian Life Simulator,1070330
156,Banner of the Maid,994730
157,SD GUNDAM G GENERATION CROSS RAYS,728530
158,DESOLATE,671510
159,while True: learn(),619150
160,Kao the Kangaroo: Round 2 (2003 re-release),1048540
161,Ion Fury,562860
162,Blair Witch,1092660
163,Rise to Ruins,328080
164,DRAGON QUEST BUILDERS™ 2,1072420
165,Lost,1126290
166,Day of Dragons,1088090
167,AMID EVIL,673130
168,Blush Blush,777130
169,UNDEFEATED,1116960
170,Gravitas,1067310
171,Blood Trail,1032430
172,Cat Quest II,914710
173,Intruder,518150
174,Blacksad: Under the Skin,1003890
175,Age of Wonders: Planetfall,718850
176,Neon Beats,1064610
177,We Become What We Behold [Fan-Made Port],1103210
178,Aokana - Four Rhythms Across the Blue,1044620
179,Pogostuck: Rage With Your Friends,688130
180,Outlaws of the Old West,840800
181,Warhammer: Chaosbane,774241
182,Fell Seal: Arbiter's Mark,699170
183,Swords & Souls: Neverseen,679900
184,ONE PIECE World Seeker,755500
185,Hot Lava,382560
186,Drift86,1070580
187,We Need To Go Deeper,307110
188,Granny Simulator,1053680
189,Pilgrims,1049280
190,Agent A: A puzzle in disguise,801480
191,The Legend of Bum-Bo,1148650
192,Citadel: Forged with Fire,487120
193,Tangle Tower,359510
194,Bug Fables: The Everlasting Sapling,1082710
195,Himno,931690
196,Lords Mobile: Kingdom Wars,1041320
197,Hello Neighbor Alpha 4,1096710
198,コイカツ！ / Koikatsu Party,1073440
199,The Coin Game,598980
200,Kindergarten 2,1067850
201,Wet Girl,1008710
202,Void Bastards,857980
203,Eastshade,715560
204,Hypnospace Outlaw,844590
205,Wargroove,607050
206,FINAL FANTASY VIII - REMASTERED,1026680
207,Seek Girl,998930
208,LOST EMBER,563840
209,Fun with Ragdolls: The Game,1142500
210,BirdGut,1072390
