year,rank,name,appid,month,avg_players,peak_players,status
2023,1,Baldur's Gate 3,1086940,2023-01,3120.62,7184.0,ok
2023,1,Baldur's Gate 3,1086940,2023-02,2139.12,4676.0,ok
2023,1,Baldur's Gate 3,1086940,2023-03,2423.73,5106.0,ok
2023,1,Baldur's Gate 3,1086940,2023-04,2441.7,4716.0,ok
2023,1,Baldur's Gate 3,1086940,2023-05,1965.73,3612.0,ok
2023,1,Baldur's Gate 3,1086940,2023-06,2106.56,4271.0,ok
2023,1,Baldur's Gate 3,1086940,2023-07,11755.46,32315.0,ok
2023,1,Baldur's Gate 3,1086940,2023-08,450982.28,875343.0,ok
2023,1,Baldur's Gate 3,1086940,2023-09,272089.86,584548.0,ok
2023,1,Baldur's Gate 3,1086940,2023-10,148107.96,333010.0,ok
2023,1,Baldur's Gate 3,1086940,2023-11,100508.31,202546.0,ok
2023,1,Baldur's Gate 3,1086940,2023-12,131807.78,258536.0,ok
2023,2,Lethal Company,1966720,2023-10,1035.4,4023.0,ok
2023,2,Lethal Company,1966720,2023-11,38974.03,184015.0,ok
2023,2,Lethal Company,1966720,2023-12,107896.83,239369.0,ok
2023,3,Overwatch®,2357570,2023-08,28327.17,75361.0,ok
2023,3,Overwatch®,2357570,2023-09,17863.41,33414.0,ok
2023,3,Overwatch®,2357570,2023-10,19301.44,37788.0,ok
2023,3,Overwatch®,2357570,2023-11,20736.42,38886.0,ok
2023,3,Overwatch®,2357570,2023-12,20742.67,38536.0,ok
2023,4,Hogwarts Legacy,990080,2023-02,270553.06,527652.0,ok
2023,4,Hogwarts Legacy,990080,2023-03,67680.2,204096.0,ok
2023,4,Hogwarts Legacy,990080,2023-04,21934.78,59113.0,ok
2023,4,Hogwarts Legacy,990080,2023-05,12186.62,26908.0,ok
2023,4,Hogwarts Legacy,990080,2023-06,8548.23,18269.0,ok
2023,4,Hogwarts Legacy,990080,2023-07,10531.12,20128.0,ok
2023,4,Hogwarts Legacy,990080,2023-08,7451.41,14991.0,ok
2023,4,Hogwarts Legacy,990080,2023-09,8531.89,19038.0,ok
2023,4,Hogwarts Legacy,990080,2023-10,7284.74,17095.0,ok
2023,4,Hogwarts Legacy,990080,2023-11,8852.53,23284.0,ok
2023,4,Hogwarts Legacy,990080,2023-12,13479.13,36353.0,ok
2023,5,Ready or Not,1144200,2023-01,5479.53,12426.0,ok
2023,5,Ready or Not,1144200,2023-02,3007.68,5644.0,ok
2023,5,Ready or Not,1144200,2023-03,2690.23,5138.0,ok
2023,5,Ready or Not,1144200,2023-04,3052.48,5364.0,ok
2023,5,Ready or Not,1144200,2023-05,3152.64,6329.0,ok
2023,5,Ready or Not,1144200,2023-06,3053.07,5262.0,ok
2023,5,Ready or Not,1144200,2023-07,4160.26,7000.0,ok
2023,5,Ready or Not,1144200,2023-08,3091.49,5011.0,ok
2023,5,Ready or Not,1144200,2023-09,2679.03,5287.0,ok
2023,5,Ready or Not,1144200,2023-10,2404.08,5183.0,ok
2023,5,Ready or Not,1144200,2023-11,2967.36,6210.0,ok
2023,5,Ready or Not,1144200,2023-12,18084.83,55174.0,ok
2023,6,THE FINALS,2073850,2023-12,120211.14,242399.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-01,4899.63,9119.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-02,6340.88,17485.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-03,5325.22,12975.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-04,4071.52,9613.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-05,5636.47,30790.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-06,8988.62,27712.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-07,4729.82,10880.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-08,3552.69,7149.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-09,3154.82,6765.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-10,3410.55,6900.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-11,3784.24,8277.0,ok
2023,7,鬼谷八荒 Tale of Immortal,1468810,2023-12,3655.68,7755.0,ok
2023,8,Resident Evil 4,2050650,2023-04,34990.85,103934.0,ok
2023,8,Resident Evil 4,2050650,2023-05,8301.86,21080.0,ok
2023,8,Resident Evil 4,2050650,2023-06,3654.67,7216.0,ok
2023,8,Resident Evil 4,2050650,2023-07,2829.83,4585.0,ok
2023,8,Resident Evil 4,2050650,2023-08,2300.0,3756.0,ok
2023,8,Resident Evil 4,2050650,2023-09,9431.8,49641.0,ok
2023,8,Resident Evil 4,2050650,2023-10,7695.07,21687.0,ok
2023,8,Resident Evil 4,2050650,2023-11,5230.97,10822.0,ok
2023,8,Resident Evil 4,2050650,2023-12,6577.2,12824.0,ok
2023,9,Starfield,1716740,2023-09,145883.23,330597.0,ok
2023,9,Starfield,1716740,2023-10,48717.22,137116.0,ok
2023,9,Starfield,1716740,2023-11,20302.27,43338.0,ok
2023,9,Starfield,1716740,2023-12,12822.9,26552.0,ok
2023,10,BattleBit Remastered,671860,2023-06,45198.12,86636.0,ok
2023,10,BattleBit Remastered,671860,2023-07,43408.76,82032.0,ok
2023,10,BattleBit Remastered,671860,2023-08,17400.73,44559.0,ok
2023,10,BattleBit Remastered,671860,2023-09,8357.42,15952.0,ok
2023,10,BattleBit Remastered,671860,2023-10,6935.45,15898.0,ok
2023,10,BattleBit Remastered,671860,2023-11,5416.11,16952.0,ok
2023,10,BattleBit Remastered,671860,2023-12,8968.59,39218.0,ok
2023,11,DAVE THE DIVER,1868140,2023-01,662.94,1284.0,ok
2023,11,DAVE THE DIVER,1868140,2023-02,335.82,705.0,ok
2023,11,DAVE THE DIVER,1868140,2023-03,914.73,4206.0,ok
2023,11,DAVE THE DIVER,1868140,2023-04,501.31,1359.0,ok
2023,11,DAVE THE DIVER,1868140,2023-05,302.47,625.0,ok
2023,11,DAVE THE DIVER,1868140,2023-06,1781.66,34391.0,ok
2023,11,DAVE THE DIVER,1868140,2023-07,36867.89,98281.0,ok
2023,11,DAVE THE DIVER,1868140,2023-08,10048.44,26572.0,ok
2023,11,DAVE THE DIVER,1868140,2023-09,4518.12,10325.0,ok
2023,11,DAVE THE DIVER,1868140,2023-10,3754.54,8329.0,ok
2023,11,DAVE THE DIVER,1868140,2023-11,5167.03,19488.0,ok
2023,11,DAVE THE DIVER,1868140,2023-12,9292.13,18403.0,ok
2023,12,Aimlabs,714010,2023-01,3786.14,5710.0,ok
2023,12,Aimlabs,714010,2023-02,4078.19,5888.0,ok
2023,12,Aimlabs,714010,2023-03,4557.2,6752.0,ok
2023,12,Aimlabs,714010,2023-04,4252.79,6348.0,ok
2023,12,Aimlabs,714010,2023-05,3796.52,5830.0,ok
2023,12,Aimlabs,714010,2023-06,3799.2,5415.0,ok
2023,12,Aimlabs,714010,2023-07,4431.94,5947.0,ok
2023,12,Aimlabs,714010,2023-08,4586.69,6242.0,ok
